company,report_type,year,pdf_filename,page_number,page_label,section_title,word_count,char_count,pdf_path,final_url
TotalEnergies,sustainability_statement,2026,totalenergies_sustainability-climate-2026-progress-report_2026_en.pdf,79,79,"Talent Diversity, a Performance Lever",414,2823,data/raw_pdfs/totalenergies/totalenergies_sustainability-climate-2026-progress-report_2026_en.pdf,https://totalenergies.com/system/files/documents/totalenergies_sustainability-climate-2026-progress-report_2026_en.pdf
TotalEnergies,sustainability_statement,2026,totalenergies_sustainability-climate-2026-progress-report_2026_en.pdf,80,80,Caring for the Environment,59,408,data/raw_pdfs/totalenergies/totalenergies_sustainability-climate-2026-progress-report_2026_en.pdf,https://totalenergies.com/system/files/documents/totalenergies_sustainability-climate-2026-progress-report_2026_en.pdf
TotalEnergies,sustainability_statement,2026,totalenergies_sustainability-climate-2026-progress-report_2026_en.pdf,81,81,Caring for the Environment,457,3082,data/raw_pdfs/totalenergies/totalenergies_sustainability-climate-2026-progress-report_2026_en.pdf,https://totalenergies.com/system/files/documents/totalenergies_sustainability-climate-2026-progress-report_2026_en.pdf
TotalEnergies,sustainability_statement,2026,totalenergies_sustainability-climate-2026-progress-report_2026_en.pdf,82,82,FOCUS,461,2955,data/raw_pdfs/totalenergies/totalenergies_sustainability-climate-2026-progress-report_2026_en.pdf,https://totalenergies.com/system/files/documents/totalenergies_sustainability-climate-2026-progress-report_2026_en.pdf
TotalEnergies,sustainability_statement,2026,totalenergies_sustainability-climate-2026-progress-report_2026_en.pdf,83,83,Environmental Protection,436,2911,data/raw_pdfs/totalenergies/totalenergies_sustainability-climate-2026-progress-report_2026_en.pdf,https://totalenergies.com/system/files/documents/totalenergies_sustainability-climate-2026-progress-report_2026_en.pdf
TotalEnergies,sustainability_statement,2026,totalenergies_sustainability-climate-2026-progress-report_2026_en.pdf,84,84,Taking Action to Preserve Water Resources,270,1788,data/raw_pdfs/totalenergies/totalenergies_sustainability-climate-2026-progress-report_2026_en.pdf,https://totalenergies.com/system/files/documents/totalenergies_sustainability-climate-2026-progress-report_2026_en.pdf
TotalEnergies,sustainability_statement,2026,totalenergies_sustainability-climate-2026-progress-report_2026_en.pdf,85,85,-20 % by 2030,377,2438,data/raw_pdfs/totalenergies/totalenergies_sustainability-climate-2026-progress-report_2026_en.pdf,https://totalenergies.com/system/files/documents/totalenergies_sustainability-climate-2026-progress-report_2026_en.pdf
TotalEnergies,sustainability_statement,2026,totalenergies_sustainability-climate-2026-progress-report_2026_en.pdf,86,86,Developing Circular Management of Our Products,399,2398,data/raw_pdfs/totalenergies/totalenergies_sustainability-climate-2026-progress-report_2026_en.pdf,https://totalenergies.com/system/files/documents/totalenergies_sustainability-climate-2026-progress-report_2026_en.pdf
TotalEnergies,sustainability_statement,2026,totalenergies_sustainability-climate-2026-progress-report_2026_en.pdf,87,87,Developing Circular Management of Our Products,513,3409,data/raw_pdfs/totalenergies/totalenergies_sustainability-climate-2026-progress-report_2026_en.pdf,https://totalenergies.com/system/files/documents/totalenergies_sustainability-climate-2026-progress-report_2026_en.pdf
TotalEnergies,sustainability_statement,2026,totalenergies_sustainability-climate-2026-progress-report_2026_en.pdf,88,88,Acting for Biodiversity,417,2757,data/raw_pdfs/totalenergies/totalenergies_sustainability-climate-2026-progress-report_2026_en.pdf,https://totalenergies.com/system/files/documents/totalenergies_sustainability-climate-2026-progress-report_2026_en.pdf
TotalEnergies,sustainability_statement,2026,totalenergies_sustainability-climate-2026-progress-report_2026_en.pdf,89,89,Acting for Biodiversity,597,4041,data/raw_pdfs/totalenergies/totalenergies_sustainability-climate-2026-progress-report_2026_en.pdf,https://totalenergies.com/system/files/documents/totalenergies_sustainability-climate-2026-progress-report_2026_en.pdf
